Runs,BF,SR,Inns,Ranking index,Ground Index,RF,LF,RAM,LAM,LAO,OB,LB
1,7,14.28,1,3,1,1,1,0,0,0,0,0
0,1,0,1,5,1,0,0,0,0,1,0,0
47,75,62.66,1,3,1,1,1,0,0,0,1,1
85,97,87.62,1,5,1,0,1,1,0,1,0,1
8,15,53.33,2,4,5,1,0,0,0,1,0,0
0,8,0,1,4,5,1,1,0,0,0,0,0
36,48,75,1,4,5,1,1,0,1,1,1,0
12,28,42.85,1,5,1,1,1,1,0,0,1,0
14,13,107.69,1,5,1,0,0,0,0,0,1,0
38,38,100,2,5,1,0,0,1,0,0,1,0
7,7,100,1,5,2,0,1,0,0,0,1,0
20,26,76.92,2,3,2,0,1,0,0,0,1,0
25,24,104.16,2,4,2,1,0,0,0,1,0,1
20,36,55.55,1,5,4,1,0,1,0,1,0,0
1,3,33.33,1,5,4,1,0,1,0,0,0,0
6,19,31.57,2,5,4,1,0,1,0,0,0,0
50,78,64.1,1,2,4,1,0,0,0,1,1,0
33,38,86.84,2,2,4,1,0,0,0,1,1,0
15,20,75,1,1,4,1,0,1,0,0,1,0
58,51,113.72,1,4,1,1,1,1,0,1,1,0
13,7,185.71,2,4,1,1,1,0,0,0,0,0
106,113,93.8,1,4,1,1,0,1,0,1,1,0
36,47,76.59,1,4,1,1,1,1,0,1,1,0
63,65,96.92,2,2,1,1,0,0,0,1,1,0
9,7,128.57,2,2,1,1,0,0,0,0,1,0
73,91,80.21,1,2,1,1,0,1,0,1,1,1
11,20,55,2,2,1,1,0,0,0,1,1,1
55,50,110,2,5,1,1,0,1,1,1,1,0
16,20,80,1,2,1,1,0,1,0,0,0,0
8,16,50,1,3,1,1,0,1,0,1,0,0
32,58,55.17,2,5,1,1,0,1,0,0,1,0
1,7,14.28,2,1,1,0,0,0,0,1,1,0
30,49,61.22,2,4,1,0,1,0,0,1,1,1
51,90,56.66,2,5,1,1,1,0,0,1,0,1
9,23,39.13,1,5,1,1,1,0,0,0,0,1
9,11,81.81,2,5,1,1,1,0,0,0,0,1
53,63,84.12,1,2,3,1,1,1,0,1,1,0
26,47,55.31,1,2,3,1,1,0,0,1,1,0
19,22,86.36,2,2,3,1,1,1,0,0,1,0
